BE01,PM01,SER01,AMT01
BE823,PM823,SER823,AMT823
BE824,PM824,SER824,AMT824
BE825,PM825,SER825,AMT825
BE826,PM826,SER826,AMT826
BE827,PM827,SER827,AMT827
BE828,PM828,SER828,AMT828
BE829,PM829,SER829,AMT829
BE830,PM830,SER830,AMT830
BE831,PM831,SER831,AMT831
BE832,PM832,SER832,AMT832
BE833,PM833,SER833,AMT833
BE834,PM834,SER834,AMT834
BE835,PM835,SER835,AMT835
BE836,PM836,SER836,AMT836
BE837,PM837,SER837,AMT837
BE838,PM838,SER838,AMT838
BE839,PM839,SER839,AMT839
BE840,PM840,SER840,AMT840
BE841,PM841,SER841,AMT841
BE842,PM842,SER842,AMT842
BE843,PM843,SER843,AMT843
BE844,PM844,SER844,AMT844
BE845,PM845,SER845,AMT845
BE846,PM846,SER846,AMT846
BE847,PM847,SER847,AMT847
BE848,PM848,SER848,AMT848
BE849,PM849,SER849,AMT849
BE850,PM850,SER850,AMT850
BE851,PM851,SER851,AMT851
BE852,PM852,SER852,AMT852
BE853,PM853,SER853,AMT853
BE854,PM854,SER854,AMT854
BE855,PM855,SER855,AMT855
BE856,PM856,SER856,AMT856
BE857,PM857,SER857,AMT857
BE858,PM858,SER858,AMT858
BE859,PM859,SER859,AMT859
BE860,PM860,SER860,AMT860
BE861,PM861,SER861,AMT861
BE862,PM862,SER862,AMT862
BE863,PM863,SER863,AMT863
BE864,PM864,SER864,AMT864
BE865,PM865,SER865,AMT865
BE866,PM866,SER866,AMT866
BE867,PM867,SER867,AMT867
BE868,PM868,SER868,AMT868
BE869,PM869,SER869,AMT869
BE870,PM870,SER870,AMT870
BE871,PM871,SER871,AMT871
BE872,PM872,SER872,AMT872
BE873,PM873,SER873,AMT873
BE874,PM874,SER874,AMT874
BE875,PM875,SER875,AMT875
BE876,PM876,SER876,AMT876
BE877,PM877,SER877,AMT877
BE878,PM878,SER878,AMT878
BE879,PM879,SER879,AMT879
BE880,PM880,SER880,AMT880
BE881,PM881,SER881,AMT881
BE882,PM882,SER882,AMT882
BE883,PM883,SER883,AMT883
BE884,PM884,SER884,AMT884
BE885,PM885,SER885,AMT885
BE886,PM886,SER886,AMT886
BE887,PM887,SER887,AMT887
BE888,PM888,SER888,AMT888
BE889,PM889,SER889,AMT889
BE890,PM890,SER890,AMT890
BE891,PM891,SER891,AMT891
BE892,PM892,SER892,AMT892
BE893,PM893,SER893,AMT893
BE894,PM894,SER894,AMT894
BE895,PM895,SER895,AMT895
BE896,PM896,SER896,AMT896
BE897,PM897,SER897,AMT897
BE898,PM898,SER898,AMT898
BE899,PM899,SER899,AMT899
BE900,PM900,SER900,AMT900
BE901,PM901,SER901,AMT901
BE902,PM902,SER902,AMT902
BE903,PM903,SER903,AMT903
BE904,PM904,SER904,AMT904
BE905,PM905,SER905,AMT905
BE906,PM906,SER906,AMT906
BE907,PM907,SER907,AMT907
BE908,PM908,SER908,AMT908
BE909,PM909,SER909,AMT909
BE910,PM910,SER910,AMT910
BE911,PM911,SER911,AMT911
BE912,PM912,SER912,AMT912
BE913,PM913,SER913,AMT913
BE914,PM914,SER914,AMT914
BE915,PM915,SER915,AMT915
BE916,PM916,SER916,AMT916
BE917,PM917,SER917,AMT917
BE918,PM918,SER918,AMT918
BE919,PM919,SER919,AMT919
BE920,PM920,SER920,AMT920
BE921,PM921,SER921,AMT921
BE922,PM922,SER922,AMT922
BE923,PM923,SER923,AMT923
BE924,PM924,SER924,AMT924
BE925,PM925,SER925,AMT925
BE926,PM926,SER926,AMT926
BE927,PM927,SER927,AMT927
BE928,PM928,SER928,AMT928
BE929,PM929,SER929,AMT929
BE930,PM930,SER930,AMT930
BE931,PM931,SER931,AMT931
BE932,PM932,SER932,AMT932
BE933,PM933,SER933,AMT933
BE934,PM934,SER934,AMT934
BE935,PM935,SER935,AMT935
BE936,PM936,SER936,AMT936
BE937,PM937,SER937,AMT937
BE938,PM938,SER938,AMT938
BE939,PM939,SER939,AMT939
BE940,PM940,SER940,AMT940
BE941,PM941,SER941,AMT941
BE942,PM942,SER942,AMT942
BE943,PM943,SER943,AMT943
BE944,PM944,SER944,AMT944
BE945,PM945,SER945,AMT945
BE946,PM946,SER946,AMT946
BE947,PM947,SER947,AMT947
BE948,PM948,SER948,AMT948
BE949,PM949,SER949,AMT949
BE950,PM950,SER950,AMT950
BE951,PM951,SER951,AMT951
BE952,PM952,SER952,AMT952
BE953,PM953,SER953,AMT953
BE954,PM954,SER954,AMT954
BE955,PM955,SER955,AMT955
BE956,PM956,SER956,AMT956
BE957,PM957,SER957,AMT957
BE958,PM958,SER958,AMT958
BE959,PM959,SER959,AMT959
BE960,PM960,SER960,AMT960
BE961,PM961,SER961,AMT961
BE962,PM962,SER962,AMT962
BE963,PM963,SER963,AMT963
BE964,PM964,SER964,AMT964
BE965,PM965,SER965,AMT965
BE966,PM966,SER966,AMT966
BE967,PM967,SER967,AMT967
BE968,PM968,SER968,AMT968
BE969,PM969,SER969,AMT969
BE970,PM970,SER970,AMT970
BE971,PM971,SER971,AMT971
BE972,PM972,SER972,AMT972
BE973,PM973,SER973,AMT973
BE974,PM974,SER974,AMT974
BE975,PM975,SER975,AMT975
BE976,PM976,SER976,AMT976
BE977,PM977,SER977,AMT977
BE978,PM978,SER978,AMT978
BE979,PM979,SER979,AMT979
BE980,PM980,SER980,AMT980
BE981,PM981,SER981,AMT981
BE982,PM982,SER982,AMT982
BE983,PM983,SER983,AMT983
BE984,PM984,SER984,AMT984
BE985,PM985,SER985,AMT985
BE986,PM986,SER986,AMT986
BE987,PM987,SER987,AMT987
BE988,PM988,SER988,AMT988
BE989,PM989,SER989,AMT989
BE990,PM990,SER990,AMT990
BE991,PM991,SER991,AMT991
BE992,PM992,SER992,AMT992
BE993,PM993,SER993,AMT993
BE994,PM994,SER994,AMT994
BE995,PM995,SER995,AMT995
BE996,PM996,SER996,AMT996
BE997,PM997,SER997,AMT997
BE998,PM998,SER998,AMT998
BE999,PM999,SER999,AMT999
BE1000,PM1000,SER1000,AMT1000
BE1001,PM1001,SER1001,AMT1001
BE1002,PM1002,SER1002,AMT1002
BE1003,PM1003,SER1003,AMT1003
BE1004,PM1004,SER1004,AMT1004
BE1005,PM1005,SER1005,AMT1005
BE1006,PM1006,SER1006,AMT1006
BE1007,PM1007,SER1007,AMT1007
BE1008,PM1008,SER1008,AMT1008
BE1009,PM1009,SER1009,AMT1009
BE1010,PM1010,SER1010,AMT1010
BE1011,PM1011,SER1011,AMT1011
BE1012,PM1012,SER1012,AMT1012
BE1013,PM1013,SER1013,AMT1013
BE1014,PM1014,SER1014,AMT1014
BE1015,PM1015,SER1015,AMT1015
BE1016,PM1016,SER1016,AMT1016
BE1017,PM1017,SER1017,AMT1017
BE1018,PM1018,SER1018,AMT1018
BE1019,PM1019,SER1019,AMT1019
BE1020,PM1020,SER1020,AMT1020
BE1021,PM1021,SER1021,AMT1021
BE1022,PM1022,SER1022,AMT1022
BE1023,PM1023,SER1023,AMT1023
BE1024,PM1024,SER1024,AMT1024
BE1025,PM1025,SER1025,AMT1025
BE1026,PM1026,SER1026,AMT1026
BE1027,PM1027,SER1027,AMT1027
BE1028,PM1028,SER1028,AMT1028
BE1029,PM1029,SER1029,AMT1029
BE1030,PM1030,SER1030,AMT1030
BE1031,PM1031,SER1031,AMT1031
BE1032,PM1032,SER1032,AMT1032
BE1033,PM1033,SER1033,AMT1033
BE1034,PM1034,SER1034,AMT1034
BE1035,PM1035,SER1035,AMT1035
BE1036,PM1036,SER1036,AMT1036
BE1037,PM1037,SER1037,AMT1037
BE1038,PM1038,SER1038,AMT1038
BE1039,PM1039,SER1039,AMT1039
BE1040,PM1040,SER1040,AMT1040
BE1041,PM1041,SER1041,AMT1041
BE1042,PM1042,SER1042,AMT1042
BE1043,PM1043,SER1043,AMT1043
BE1044,PM1044,SER1044,AMT1044
BE1045,PM1045,SER1045,AMT1045
BE1046,PM1046,SER1046,AMT1046
BE1047,PM1047,SER1047,AMT1047
BE1048,PM1048,SER1048,AMT1048
BE1049,PM1049,SER1049,AMT1049
BE1050,PM1050,SER1050,AMT1050
BE1051,PM1051,SER1051,AMT1051
BE1052,PM1052,SER1052,AMT1052
BE1053,PM1053,SER1053,AMT1053
BE1054,PM1054,SER1054,AMT1054
BE1055,PM1055,SER1055,AMT1055
BE1056,PM1056,SER1056,AMT1056
BE1057,PM1057,SER1057,AMT1057
BE1058,PM1058,SER1058,AMT1058
BE1059,PM1059,SER1059,AMT1059
BE1060,PM1060,SER1060,AMT1060
BE1061,PM1061,SER1061,AMT1061
BE1062,PM1062,SER1062,AMT1062
BE1063,PM1063,SER1063,AMT1063
BE1064,PM1064,SER1064,AMT1064
BE1065,PM1065,SER1065,AMT1065
BE1066,PM1066,SER1066,AMT1066
BE1067,PM1067,SER1067,AMT1067
BE1068,PM1068,SER1068,AMT1068
BE1069,PM1069,SER1069,AMT1069
BE1070,PM1070,SER1070,AMT1070
BE1071,PM1071,SER1071,AMT1071
BE1072,PM1072,SER1072,AMT1072
BE1073,PM1073,SER1073,AMT1073
BE1074,PM1074,SER1074,AMT1074
BE1075,PM1075,SER1075,AMT1075
BE1076,PM1076,SER1076,AMT1076
BE1077,PM1077,SER1077,AMT1077
BE1078,PM1078,SER1078,AMT1078
BE1079,PM1079,SER1079,AMT1079
BE1080,PM1080,SER1080,AMT1080
BE1081,PM1081,SER1081,AMT1081
BE1082,PM1082,SER1082,AMT1082
BE1083,PM1083,SER1083,AMT1083
BE1084,PM1084,SER1084,AMT1084
BE1085,PM1085,SER1085,AMT1085
BE1086,PM1086,SER1086,AMT1086
BE1087,PM1087,SER1087,AMT1087
BE1088,PM1088,SER1088,AMT1088
BE1089,PM1089,SER1089,AMT1089
BE1090,PM1090,SER1090,AMT1090
BE1091,PM1091,SER1091,AMT1091
BE1092,PM1092,SER1092,AMT1092
BE1093,PM1093,SER1093,AMT1093
BE1094,PM1094,SER1094,AMT1094
BE1095,PM1095,SER1095,AMT1095
BE1096,PM1096,SER1096,AMT1096
BE1097,PM1097,SER1097,AMT1097
BE1098,PM1098,SER1098,AMT1098
BE1099,PM1099,SER1099,AMT1099
BE1100,PM1100,SER1100,AMT1100
BE1101,PM1101,SER1101,AMT1101
BE1102,PM1102,SER1102,AMT1102
BE1103,PM1103,SER1103,AMT1103
BE1104,PM1104,SER1104,AMT1104
BE1105,PM1105,SER1105,AMT1105
BE1106,PM1106,SER1106,AMT1106
BE1107,PM1107,SER1107,AMT1107
BE1108,PM1108,SER1108,AMT1108
BE1109,PM1109,SER1109,AMT1109
BE1110,PM1110,SER1110,AMT1110
BE1111,PM1111,SER1111,AMT1111
BE1112,PM1112,SER1112,AMT1112
BE1113,PM1113,SER1113,AMT1113
BE1114,PM1114,SER1114,AMT1114
BE1115,PM1115,SER1115,AMT1115
BE1116,PM1116,SER1116,AMT1116
BE1117,PM1117,SER1117,AMT1117
BE1118,PM1118,SER1118,AMT1118
BE1119,PM1119,SER1119,AMT1119
BE1120,PM1120,SER1120,AMT1120
BE1121,PM1121,SER1121,AMT1121
BE1122,PM1122,SER1122,AMT1122
BE1123,PM1123,SER1123,AMT1123
BE1124,PM1124,SER1124,AMT1124
BE1125,PM1125,SER1125,AMT1125
BE1126,PM1126,SER1126,AMT1126
BE1127,PM1127,SER1127,AMT1127
BE1128,PM1128,SER1128,AMT1128
BE1129,PM1129,SER1129,AMT1129
BE1130,PM1130,SER1130,AMT1130
BE1131,PM1131,SER1131,AMT1131
BE1132,PM1132,SER1132,AMT1132
BE1133,PM1133,SER1133,AMT1133
BE1134,PM1134,SER1134,AMT1134
BE1135,PM1135,SER1135,AMT1135
BE1136,PM1136,SER1136,AMT1136
BE1137,PM1137,SER1137,AMT1137
BE1138,PM1138,SER1138,AMT1138
BE1139,PM1139,SER1139,AMT1139
BE1140,PM1140,SER1140,AMT1140
BE1141,PM1141,SER1141,AMT1141
BE1142,PM1142,SER1142,AMT1142
BE1143,PM1143,SER1143,AMT1143
BE1144,PM1144,SER1144,AMT1144
BE1145,PM1145,SER1145,AMT1145
BE1146,PM1146,SER1146,AMT1146
BE1147,PM1147,SER1147,AMT1147
BE1148,PM1148,SER1148,AMT1148
BE1149,PM1149,SER1149,AMT1149
BE1150,PM1150,SER1150,AMT1150
BE1151,PM1151,SER1151,AMT1151
BE1152,PM1152,SER1152,AMT1152
BE1153,PM1153,SER1153,AMT1153
BE1154,PM1154,SER1154,AMT1154
BE1155,PM1155,SER1155,AMT1155
BE1156,PM1156,SER1156,AMT1156
BE1157,PM1157,SER1157,AMT1157
BE1158,PM1158,SER1158,AMT1158
BE1159,PM1159,SER1159,AMT1159
BE1160,PM1160,SER1160,AMT1160
BE1161,PM1161,SER1161,AMT1161
BE1162,PM1162,SER1162,AMT1162
BE1163,PM1163,SER1163,AMT1163
BE1164,PM1164,SER1164,AMT1164
BE1165,PM1165,SER1165,AMT1165
BE1166,PM1166,SER1166,AMT1166
BE1167,PM1167,SER1167,AMT1167
BE1168,PM1168,SER1168,AMT1168
BE1169,PM1169,SER1169,AMT1169
BE1170,PM1170,SER1170,AMT1170
BE1171,PM1171,SER1171,AMT1171
BE1172,PM1172,SER1172,AMT1172
BE1173,PM1173,SER1173,AMT1173
BE1174,PM1174,SER1174,AMT1174
BE1175,PM1175,SER1175,AMT1175
BE1176,PM1176,SER1176,AMT1176
BE1177,PM1177,SER1177,AMT1177
BE1178,PM1178,SER1178,AMT1178
BE1179,PM1179,SER1179,AMT1179
BE1180,PM1180,SER1180,AMT1180
BE1181,PM1181,SER1181,AMT1181
BE1182,PM1182,SER1182,AMT1182
BE1183,PM1183,SER1183,AMT1183
BE1184,PM1184,SER1184,AMT1184
BE1185,PM1185,SER1185,AMT1185
BE1186,PM1186,SER1186,AMT1186
BE1187,PM1187,SER1187,AMT1187
BE1188,PM1188,SER1188,AMT1188
BE1189,PM1189,SER1189,AMT1189
BE1190,PM1190,SER1190,AMT1190
BE1191,PM1191,SER1191,AMT1191
BE1192,PM1192,SER1192,AMT1192
BE1193,PM1193,SER1193,AMT1193
BE1194,PM1194,SER1194,AMT1194
BE1195,PM1195,SER1195,AMT1195
BE1196,PM1196,SER1196,AMT1196
BE1197,PM1197,SER1197,AMT1197
BE1198,PM1198,SER1198,AMT1198
BE1199,PM1199,SER1199,AMT1199
BE1200,PM1200,SER1200,AMT1200
BE1201,PM1201,SER1201,AMT1201
BE1202,PM1202,SER1202,AMT1202
BE1203,PM1203,SER1203,AMT1203
BE1204,PM1204,SER1204,AMT1204
BE1205,PM1205,SER1205,AMT1205
BE1206,PM1206,SER1206,AMT1206
BE1207,PM1207,SER1207,AMT1207
BE1208,PM1208,SER1208,AMT1208
BE1209,PM1209,SER1209,AMT1209
BE1210,PM1210,SER1210,AMT1210
BE1211,PM1211,SER1211,AMT1211
BE1212,PM1212,SER1212,AMT1212
BE1213,PM1213,SER1213,AMT1213
BE1214,PM1214,SER1214,AMT1214
BE1215,PM1215,SER1215,AMT1215
BE1216,PM1216,SER1216,AMT1216
BE1217,PM1217,SER1217,AMT1217
BE1218,PM1218,SER1218,AMT1218
BE1219,PM1219,SER1219,AMT1219
BE1220,PM1220,SER1220,AMT1220
BE1221,PM1221,SER1221,AMT1221
BE1222,PM1222,SER1222,AMT1222
BE1223,PM1223,SER1223,AMT1223
BE1224,PM1224,SER1224,AMT1224
BE1225,PM1225,SER1225,AMT1225
BE1226,PM1226,SER1226,AMT1226
BE1227,PM1227,SER1227,AMT1227
BE1228,PM1228,SER1228,AMT1228
BE1229,PM1229,SER1229,AMT1229
BE1230,PM1230,SER1230,AMT1230
BE1231,PM1231,SER1231,AMT1231
BE1232,PM1232,SER1232,AMT1232
BE1233,PM1233,SER1233,AMT1233
BE1234,PM1234,SER1234,AMT1234
BE1235,PM1235,SER1235,AMT1235
BE1236,PM1236,SER1236,AMT1236
BE1237,PM1237,SER1237,AMT1237
BE1238,PM1238,SER1238,AMT1238
BE1239,PM1239,SER1239,AMT1239
BE1240,PM1240,SER1240,AMT1240
BE1241,PM1241,SER1241,AMT1241
BE1242,PM1242,SER1242,AMT1242
BE1243,PM1243,SER1243,AMT1243
BE1244,PM1244,SER1244,AMT1244
BE1245,PM1245,SER1245,AMT1245
BE1246,PM1246,SER1246,AMT1246
BE1247,PM1247,SER1247,AMT1247
BE1248,PM1248,SER1248,AMT1248
BE1249,PM1249,SER1249,AMT1249
BE1250,PM1250,SER1250,AMT1250
BE1251,PM1251,SER1251,AMT1251
BE1252,PM1252,SER1252,AMT1252
BE1253,PM1253,SER1253,AMT1253
BE1254,PM1254,SER1254,AMT1254
BE1255,PM1255,SER1255,AMT1255
BE1256,PM1256,SER1256,AMT1256
BE1257,PM1257,SER1257,AMT1257
BE1258,PM1258,SER1258,AMT1258
BE1259,PM1259,SER1259,AMT1259
BE1260,PM1260,SER1260,AMT1260
BE1261,PM1261,SER1261,AMT1261
BE1262,PM1262,SER1262,AMT1262
BE1263,PM1263,SER1263,AMT1263
BE1264,PM1264,SER1264,AMT1264
BE1265,PM1265,SER1265,AMT1265
BE1266,PM1266,SER1266,AMT1266
BE1267,PM1267,SER1267,AMT1267
BE1268,PM1268,SER1268,AMT1268
BE1269,PM1269,SER1269,AMT1269
BE1270,PM1270,SER1270,AMT1270
BE1271,PM1271,SER1271,AMT1271
BE1272,PM1272,SER1272,AMT1272
BE1273,PM1273,SER1273,AMT1273
BE1274,PM1274,SER1274,AMT1274
BE1275,PM1275,SER1275,AMT1275
BE1276,PM1276,SER1276,AMT1276
BE1277,PM1277,SER1277,AMT1277
BE1278,PM1278,SER1278,AMT1278
BE1279,PM1279,SER1279,AMT1279
BE1280,PM1280,SER1280,AMT1280
BE1281,PM1281,SER1281,AMT1281
BE1282,PM1282,SER1282,AMT1282
BE1283,PM1283,SER1283,AMT1283
BE1284,PM1284,SER1284,AMT1284
BE1285,PM1285,SER1285,AMT1285
BE1286,PM1286,SER1286,AMT1286
BE1287,PM1287,SER1287,AMT1287
BE1288,PM1288,SER1288,AMT1288
BE1289,PM1289,SER1289,AMT1289
BE1290,PM1290,SER1290,AMT1290
BE1291,PM1291,SER1291,AMT1291
BE1292,PM1292,SER1292,AMT1292
BE1293,PM1293,SER1293,AMT1293
BE1294,PM1294,SER1294,AMT1294
BE1295,PM1295,SER1295,AMT1295
BE1296,PM1296,SER1296,AMT1296
BE1297,PM1297,SER1297,AMT1297
BE1298,PM1298,SER1298,AMT1298
BE1299,PM1299,SER1299,AMT1299
BE1300,PM1300,SER1300,AMT1300
BE1301,PM1301,SER1301,AMT1301
BE1302,PM1302,SER1302,AMT1302
BE1303,PM1303,SER1303,AMT1303
BE1304,PM1304,SER1304,AMT1304
BE1305,PM1305,SER1305,AMT1305
BE1306,PM1306,SER1306,AMT1306
BE1307,PM1307,SER1307,AMT1307
BE1308,PM1308,SER1308,AMT1308
BE1309,PM1309,SER1309,AMT1309
BE1310,PM1310,SER1310,AMT1310
BE1311,PM1311,SER1311,AMT1311
BE1312,PM1312,SER1312,AMT1312
BE1313,PM1313,SER1313,AMT1313
BE1314,PM1314,SER1314,AMT1314
BE1315,PM1315,SER1315,AMT1315
BE1316,PM1316,SER1316,AMT1316
BE1317,PM1317,SER1317,AMT1317
BE1318,PM1318,SER1318,AMT1318
BE1319,PM1319,SER1319,AMT1319
BE1320,PM1320,SER1320,AMT1320
BE1321,PM1321,SER1321,AMT1321
BE1322,PM1322,SER1322,AMT1322
BE1323,PM1323,SER1323,AMT1323
BE1324,PM1324,SER1324,AMT1324
BE1325,PM1325,SER1325,AMT1325
BE1326,PM1326,SER1326,AMT1326
BE1327,PM1327,SER1327,AMT1327
BE1328,PM1328,SER1328,AMT1328
BE1329,PM1329,SER1329,AMT1329
BE1330,PM1330,SER1330,AMT1330
BE1331,PM1331,SER1331,AMT1331
BE1332,PM1332,SER1332,AMT1332
BE1333,PM1333,SER1333,AMT1333
BE1334,PM1334,SER1334,AMT1334
BE1335,PM1335,SER1335,AMT1335
BE1336,PM1336,SER1336,AMT1336
BE1337,PM1337,SER1337,AMT1337
BE1338,PM1338,SER1338,AMT1338
BE1339,PM1339,SER1339,AMT1339
BE1340,PM1340,SER1340,AMT1340
BE1341,PM1341,SER1341,AMT1341
BE1342,PM1342,SER1342,AMT1342
BE1343,PM1343,SER1343,AMT1343
BE1344,PM1344,SER1344,AMT1344
BE1345,PM1345,SER1345,AMT1345
BE1346,PM1346,SER1346,AMT1346
BE1347,PM1347,SER1347,AMT1347
BE1348,PM1348,SER1348,AMT1348
BE1349,PM1349,SER1349,AMT1349
BE1350,PM1350,SER1350,AMT1350
BE1351,PM1351,SER1351,AMT1351
BE1352,PM1352,SER1352,AMT1352
BE1353,PM1353,SER1353,AMT1353
BE1354,PM1354,SER1354,AMT1354
BE1355,PM1355,SER1355,AMT1355
BE1356,PM1356,SER1356,AMT1356
BE1357,PM1357,SER1357,AMT1357
BE1358,PM1358,SER1358,AMT1358
BE1359,PM1359,SER1359,AMT1359
BE1360,PM1360,SER1360,AMT1360
BE1361,PM1361,SER1361,AMT1361
BE1362,PM1362,SER1362,AMT1362
BE1363,PM1363,SER1363,AMT1363
BE1364,PM1364,SER1364,AMT1364
BE1365,PM1365,SER1365,AMT1365
BE1366,PM1366,SER1366,AMT1366
BE1367,PM1367,SER1367,AMT1367
BE1368,PM1368,SER1368,AMT1368
BE1369,PM1369,SER1369,AMT1369
BE1370,PM1370,SER1370,AMT1370
BE1371,PM1371,SER1371,AMT1371
BE1372,PM1372,SER1372,AMT1372
BE1373,PM1373,SER1373,AMT1373
BE1374,PM1374,SER1374,AMT1374
BE1375,PM1375,SER1375,AMT1375
BE1376,PM1376,SER1376,AMT1376
BE1377,PM1377,SER1377,AMT1377
BE1378,PM1378,SER1378,AMT1378
BE1379,PM1379,SER1379,AMT1379
BE1380,PM1380,SER1380,AMT1380
BE1381,PM1381,SER1381,AMT1381
BE1382,PM1382,SER1382,AMT1382
BE1383,PM1383,SER1383,AMT1383
BE1384,PM1384,SER1384,AMT1384
BE1385,PM1385,SER1385,AMT1385
BE1386,PM1386,SER1386,AMT1386
BE1387,PM1387,SER1387,AMT1387
BE1388,PM1388,SER1388,AMT1388
BE1389,PM1389,SER1389,AMT1389
BE1390,PM1390,SER1390,AMT1390
BE1391,PM1391,SER1391,AMT1391
BE1392,PM1392,SER1392,AMT1392
BE1393,PM1393,SER1393,AMT1393
BE1394,PM1394,SER1394,AMT1394
BE1395,PM1395,SER1395,AMT1395
BE1396,PM1396,SER1396,AMT1396
BE1397,PM1397,SER1397,AMT1397
BE1398,PM1398,SER1398,AMT1398
BE1399,PM1399,SER1399,AMT1399
BE1400,PM1400,SER1400,AMT1400
BE1401,PM1401,SER1401,AMT1401
BE1402,PM1402,SER1402,AMT1402
BE1403,PM1403,SER1403,AMT1403
BE1404,PM1404,SER1404,AMT1404
BE1405,PM1405,SER1405,AMT1405
BE1406,PM1406,SER1406,AMT1406
BE1407,PM1407,SER1407,AMT1407
BE1408,PM1408,SER1408,AMT1408
BE1409,PM1409,SER1409,AMT1409
BE1410,PM1410,SER1410,AMT1410
BE1411,PM1411,SER1411,AMT1411
BE1412,PM1412,SER1412,AMT1412
BE1413,PM1413,SER1413,AMT1413
BE1414,PM1414,SER1414,AMT1414
BE1415,PM1415,SER1415,AMT1415
BE1416,PM1416,SER1416,AMT1416
BE1417,PM1417,SER1417,AMT1417
BE1418,PM1418,SER1418,AMT1418
BE1419,PM1419,SER1419,AMT1419
BE1420,PM1420,SER1420,AMT1420
BE1421,PM1421,SER1421,AMT1421
BE1422,PM1422,SER1422,AMT1422
BE1423,PM1423,SER1423,AMT1423
BE1424,PM1424,SER1424,AMT1424
BE1425,PM1425,SER1425,AMT1425
BE1426,PM1426,SER1426,AMT1426
BE1427,PM1427,SER1427,AMT1427
BE1428,PM1428,SER1428,AMT1428
BE1429,PM1429,SER1429,AMT1429
BE1430,PM1430,SER1430,AMT1430
BE1431,PM1431,SER1431,AMT1431
BE1432,PM1432,SER1432,AMT1432
BE1433,PM1433,SER1433,AMT1433
BE1434,PM1434,SER1434,AMT1434
BE1435,PM1435,SER1435,AMT1435
BE1436,PM1436,SER1436,AMT1436
BE1437,PM1437,SER1437,AMT1437
BE1438,PM1438,SER1438,AMT1438
BE1439,PM1439,SER1439,AMT1439
BE1440,PM1440,SER1440,AMT1440
BE1441,PM1441,SER1441,AMT1441
BE1442,PM1442,SER1442,AMT1442
BE1443,PM1443,SER1443,AMT1443
BE1444,PM1444,SER1444,AMT1444
BE1445,PM1445,SER1445,AMT1445
BE1446,PM1446,SER1446,AMT1446
BE1447,PM1447,SER1447,AMT1447
BE1448,PM1448,SER1448,AMT1448
BE1449,PM1449,SER1449,AMT1449
BE1450,PM1450,SER1450,AMT1450
BE1451,PM1451,SER1451,AMT1451
BE1452,PM1452,SER1452,AMT1452
BE1453,PM1453,SER1453,AMT1453
BE1454,PM1454,SER1454,AMT1454
BE1455,PM1455,SER1455,AMT1455
BE1456,PM1456,SER1456,AMT1456
BE1457,PM1457,SER1457,AMT1457
BE1458,PM1458,SER1458,AMT1458
BE1459,PM1459,SER1459,AMT1459
BE1460,PM1460,SER1460,AMT1460
BE1461,PM1461,SER1461,AMT1461
BE1462,PM1462,SER1462,AMT1462
BE1463,PM1463,SER1463,AMT1463
BE1464,PM1464,SER1464,AMT1464
BE1465,PM1465,SER1465,AMT1465
BE1466,PM1466,SER1466,AMT1466
BE1467,PM1467,SER1467,AMT1467
BE1468,PM1468,SER1468,AMT1468
BE1469,PM1469,SER1469,AMT1469
BE1470,PM1470,SER1470,AMT1470
BE1471,PM1471,SER1471,AMT1471
BE1472,PM1472,SER1472,AMT1472
BE1473,PM1473,SER1473,AMT1473
BE1474,PM1474,SER1474,AMT1474
BE1475,PM1475,SER1475,AMT1475
BE1476,PM1476,SER1476,AMT1476
BE1477,PM1477,SER1477,AMT1477
BE1478,PM1478,SER1478,AMT1478
BE1479,PM1479,SER1479,AMT1479
BE1480,PM1480,SER1480,AMT1480
BE1481,PM1481,SER1481,AMT1481
BE1482,PM1482,SER1482,AMT1482
BE1483,PM1483,SER1483,AMT1483
BE1484,PM1484,SER1484,AMT1484
BE1485,PM1485,SER1485,AMT1485
BE1486,PM1486,SER1486,AMT1486
BE1487,PM1487,SER1487,AMT1487
BE1488,PM1488,SER1488,AMT1488
BE1489,PM1489,SER1489,AMT1489
BE1490,PM1490,SER1490,AMT1490
BE1491,PM1491,SER1491,AMT1491
BE1492,PM1492,SER1492,AMT1492
BE1493,PM1493,SER1493,AMT1493
BE1494,PM1494,SER1494,AMT1494
BE1495,PM1495,SER1495,AMT1495
BE1496,PM1496,SER1496,AMT1496
BE1497,PM1497,SER1497,AMT1497
BE1498,PM1498,SER1498,AMT1498
BE1499,PM1499,SER1499,AMT1499
BE1500,PM1500,SER1500,AMT1500
BE1501,PM1501,SER1501,AMT1501
BE1502,PM1502,SER1502,AMT1502
BE1503,PM1503,SER1503,AMT1503
BE1504,PM1504,SER1504,AMT1504
BE1505,PM1505,SER1505,AMT1505
BE1506,PM1506,SER1506,AMT1506
BE1507,PM1507,SER1507,AMT1507
BE1508,PM1508,SER1508,AMT1508
BE1509,PM1509,SER1509,AMT1509
BE1510,PM1510,SER1510,AMT1510
BE1511,PM1511,SER1511,AMT1511
BE1512,PM1512,SER1512,AMT1512
BE1513,PM1513,SER1513,AMT1513
BE1514,PM1514,SER1514,AMT1514
BE1515,PM1515,SER1515,AMT1515
BE1516,PM1516,SER1516,AMT1516
BE1517,PM1517,SER1517,AMT1517
BE1518,PM1518,SER1518,AMT1518
BE1519,PM1519,SER1519,AMT1519
BE1520,PM1520,SER1520,AMT1520
BE1521,PM1521,SER1521,AMT1521
